"","state","population","violent_crime","murder_and_manslaughter","rape_legacy","rape_revised","robbery","aggravated_assault","property_crime","burglary","larceny_theft","mvt","violent_crime_rate","murder_manslaughter_rate","rape_legacy_rate","rape_revised_rate","robbery_rate","aggravated_assault_rate","property_crime_rate","burglary_rate","larceny_theft_rate","mvt_rate","X","year"
"493","North Carolina",9748364,34464,479,1984,NA,9392,22609,328594,99323,213151,16120,353.5,4.9,20.4,NA,96.3,231.9,3370.8,1018.9,2186.5,165.4,NA,2012
"494","North Dakota",701345,1723,25,279,NA,127,1292,14297,2429,10687,1181,245.7,3.6,39.8,NA,18.1,184.2,2038.5,346.3,1523.8,168.4,NA,2012
"495","Ohio",11553031,34827,478,3813,NA,15396,15140,370435,105312,245372,19751,301.5,4.1,33,NA,133.3,131,3206.4,911.6,2123.9,171,NA,2012
"496","Oklahoma",3815780,18102,220,1622,NA,3248,13012,130969,36094,83131,11744,474.4,5.8,42.5,NA,85.1,341,3432.3,945.9,2178.6,307.8,NA,2012
"497","Oregon",3899801,9638,91,1159,NA,2419,5969,126417,22051,94114,10252,247.1,2.3,29.7,NA,62,153.1,3241.6,565.4,2413.3,262.9,NA,2012
"498","Pennsylvania",12764475,45384,707,3371,NA,15735,25571,276562,57040,204409,15113,355.5,5.5,26.4,NA,123.3,200.3,2166.7,446.9,1601.4,118.4,NA,2012
"499","Rhode Island",1050304,2657,36,292,NA,715,1614,27039,5929,18478,2632,253,3.4,27.8,NA,68.1,153.7,2574.4,564.5,1759.3,250.6,NA,2012
"500","South Carolina",4723417,26474,332,1712,NA,4511,19919,181049,45222,122340,13487,560.5,7,36.2,NA,95.5,421.7,3833,957.4,2590.1,285.5,NA,2012
"501","South Dakota",834047,2701,23,600,NA,157,1921,17326,3280,12973,1073,323.8,2.8,71.9,NA,18.8,230.3,2077.3,393.3,1555.4,128.6,NA,2012
"502","Tennessee",6454914,41213,400,2047,NA,8151,30615,217925,56231,148731,12963,638.5,6.2,31.7,NA,126.3,474.3,3376.1,871.1,2304.2,200.8,NA,2012
"503","Texas",26060796,106475,1148,7715,NA,30385,67227,876459,205002,606425,65032,408.6,4.4,29.6,NA,116.6,258,3363.1,786.6,2327,249.5,NA,2012
"504","Utah",2854871,5939,52,975,NA,1105,3807,86284,13095,67157,6032,208,1.8,34.2,NA,38.7,133.4,3022.3,458.7,2352.4,211.3,NA,2012
"505","Vermont",625953,891,8,131,NA,114,638,15653,4179,11014,460,142.3,1.3,20.9,NA,18.2,101.9,2500.7,667.6,1759.6,73.5,NA,2012
"506","Virginia",8186628,15676,322,1505,NA,4718,9131,178434,29651,139654,9129,191.5,3.9,18.4,NA,57.6,111.5,2179.6,362.2,1705.9,111.5,NA,2012
"507","Washington",6895318,20553,217,2250,NA,5801,12285,254377,61376,166338,26663,298.1,3.1,32.6,NA,84.1,178.2,3689.1,890.1,2412.3,386.7,NA,2012
"508","West Virginia",1856680,5943,70,415,NA,835,4623,44500,11466,30800,2234,320.1,3.8,22.4,NA,45,249,2396.8,617.6,1658.9,120.3,NA,2012
"509","Wisconsin",5724554,16254,169,1228,NA,4692,10165,140780,27931,104619,8230,283.9,3,21.5,NA,82,177.6,2459.2,487.9,1827.5,143.8,NA,2012
"510","Wyoming",576626,1161,14,154,NA,61,932,13222,2125,10513,584,201.3,2.4,26.7,NA,10.6,161.6,2293,368.5,1823.2,101.3,NA,2012
